iter	RMSE
0	0.006883371178
1	0.006846278557
2	0.006814573479
3	0.006776553444
4	0.006742832853
5	0.006708882889
6	0.006675296715
7	0.006642591497
8	0.006608577328
9	0.006575494564
10	0.006542222196
11	0.006510620779
12	0.00647956496
13	0.006447448502
14	0.006419574764
15	0.00638759772
16	0.006355811648
17	0.006330277126
18	0.006298678444
19	0.006269669806
20	0.006237285513
21	0.006211731017
22	0.006186002316
23	0.006158164807
24	0.006131142297
25	0.00610758703
26	0.006079757063
27	0.00605149844
28	0.006025357003
29	0.00599914813
30	0.005973719705
31	0.00594810673
32	0.005919704476
33	0.005895978431
34	0.005871242566
35	0.005846390814
36	0.005821894755
37	0.005798438108
38	0.005776830702
39	0.005755227191
40	0.005731365252
41	0.005708762165
42	0.005684752772
43	0.005660296428
44	0.00563758831
45	0.005612871549
46	0.0055938475
47	0.005570913864
48	0.005547244671
49	0.005526771737
50	0.00550368337
51	0.005481473148
52	0.005460339576
53	0.005436914312
54	0.005416196376
55	0.005397454611
56	0.005377729451
57	0.005355366003
58	0.005335046473
59	0.005314553502
60	0.005295189658
61	0.005274893677
62	0.005258179529
63	0.005239625322
64	0.005221891109
65	0.005200651023
66	0.005181539348
67	0.005166286723
68	0.00514763528
69	0.00512903291
70	0.005110146603
71	0.005092435736
72	0.00507450383
73	0.005058108184
74	0.005039959932
75	0.005021528746
76	0.005006289017
77	0.004988077374
78	0.004972682913
79	0.004958218291
80	0.0049411783
81	0.004927267557
82	0.004911033075
83	0.004896438742
84	0.004881667336
85	0.004867880083
86	0.004852009955
87	0.004840599234
88	0.00482581373
89	0.004810730958
90	0.004797060641
91	0.004783539568
92	0.004769878179
93	0.004757049557
94	0.004742924111
95	0.004728319172
96	0.00471256137
97	0.004699674537
98	0.004688670547
99	0.004675163862
100	0.004660344606
101	0.004649533635
102	0.004635464574
103	0.00462090328
104	0.004607799815
105	0.004596377739
106	0.004584272552
107	0.004570619158
108	0.004559042692
109	0.004545762383
110	0.004532639276
111	0.004521523929
112	0.004509999643
113	0.004499000475
114	0.00448817611
115	0.004476250267
116	0.004464789608
117	0.004454155111
118	0.004442995698
119	0.004432395639
120	0.004422168301
121	0.004409772947
122	0.004399131188
123	0.004389841836
124	0.00437942231
125	0.004369687453
126	0.004358917614
127	0.004349308979
128	0.004340136189
129	0.004330678674
130	0.004320345722
131	0.00431115513
132	0.004302257691
133	0.00429365107
134	0.004284290108
135	0.004275316007
136	0.004264820186
137	0.004257105496
138	0.004246758064
139	0.004237695158
140	0.004227960511
141	0.004219747814
142	0.00421239231
143	0.00420447073
144	0.004195583186
145	0.00418886009
146	0.004180991545
147	0.004172226174
148	0.004163774406
149	0.004155709335
150	0.004145511319
151	0.004135930825
152	0.004127218029
153	0.004117037405
154	0.004110130582
155	0.004100472642
156	0.004093377421
157	0.004085775544
158	0.004078031043
159	0.004069866833
160	0.00406225503
161	0.004055530231
162	0.004049194229
163	0.004041333101
164	0.004034138191
165	0.004026213601
166	0.004019317524
167	0.00401410965
168	0.004006275443
169	0.003997566834
170	0.003991819
171	0.003986150831
172	0.003979372411
173	0.00397327703
174	0.003966954938
175	0.003960158027
176	0.003953136699
177	0.003945885317
178	0.003940649146
179	0.003933528072
180	0.003928202035
181	0.003923332175
182	0.003916366261
183	0.003910322625
184	0.003904712167
185	0.003900705335
186	0.00389555596
187	0.003889487184
188	0.003883355064
189	0.003876667222
190	0.003870686677
191	0.00386467875
192	0.003858556642
193	0.003853230701
194	0.003847693287
195	0.003841276508
196	0.003836356064
197	0.003830964672
198	0.00382577839
199	0.003821394087
200	0.003817131764
201	0.00381204318
202	0.003805763532
203	0.003799579858
204	0.003794818853
205	0.003789882928
206	0.003784725382
207	0.003777686769
208	0.003773264766
209	0.003767503088
210	0.003761682777
211	0.003757361847
212	0.003753034607
213	0.003747286882
214	0.00374299473
215	0.003738476252
216	0.003732656154
217	0.003728758445
218	0.003724497681
219	0.003718991004
220	0.003713368683
221	0.003708776166
222	0.003703237722
223	0.00369945226
224	0.003695849975
225	0.003692477627
226	0.003687410008
227	0.003683266075
228	0.003680214927
229	0.003677089328
230	0.003673493663
231	0.003670175106
232	0.003665177121
233	0.003662209037
234	0.003657327022
235	0.003654620887
236	0.003650932705
237	0.003647293409
238	0.003642966225
239	0.003639403366
240	0.00363553735
241	0.003632185292
242	0.003628179568
243	0.003623157961
244	0.003620112003
245	0.00361606747
246	0.003613233294
247	0.003608768124
248	0.003604791789
249	0.003600586115
250	0.003598097776
251	0.003594878498
252	0.003590677424
253	0.003587409037
254	0.003583517434
255	0.003579509057
256	0.003576003274
257	0.003571700792
258	0.003568870665
259	0.003564929346
260	0.00356179126
261	0.003558757603
262	0.003554678252
263	0.003551431167
264	0.003547860777
265	0.003545126082
266	0.003542691567
267	0.003540248574
268	0.003536459026
269	0.003532239916
270	0.003529627976
271	0.003526798906
272	0.003523622965
273	0.003520584701
274	0.003517490057
275	0.003514113337
276	0.003512061688
277	0.003509025491
278	0.003505903902
279	0.003503668827
280	0.003500037856
281	0.003497129508
282	0.003493187017
283	0.003491197227
284	0.00348881954
285	0.003486401588
286	0.003484312164
287	0.003481063126
288	0.003478337727
289	0.003475066718
290	0.003472267995
291	0.003470055549
292	0.003468155139
293	0.003464481343
294	0.003462405646
295	0.003459484078
296	0.003455808485
297	0.003453834989
298	0.003451407793
